id,QA,line
1,1,There's nothing to tell! He's just some guy I work with!
101,1,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
201,1,"Alright Joey, be nice. So does he have a hump? A hump and a hairpiece?"
301,1,"Wait, does he eat chalk?"
401,1,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
501,1,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and not having sex."
601,1,Sounds like a date to me.
701,1,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
801,1,"Oh, yeah. Had that dream."
901,1,"Then I look down, and I realize there's a phone... there."
1001,1,Instead of...?
1101,1,That's right.
1201,1,Never had that dream.
1301,1,No.
1401,1,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
1501,1,And they weren't looking at you before?!
1601,1,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very very weird, because- she never calls me!"
1701,1,Hi.
1801,1,"This guy says hello, I wanna kill myself."
1901,1,"Are you okay, sweetie?"
2001,1,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
2101,1,Cookie?
2201,1,Carol moved her stuff out today.
2301,1,Ohh.
2401,1,Let me get you some coffee.
2501,1,Thanks.
2601,1,Ooh! Oh!
2701,1,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
2801,1,Fine! Be murky!
2901,1,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
3001,1,No you don't.
3101,1,"No I don't, to hell with her, she left me!"
3201,1,And you never knew she was a lesbian...
3301,1,"No! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
3401,1,Sometimes I wish I was a lesbian... Did I say that out loud?
3501,1,"I told mom and dad last night, they seemed to take it pretty well."
3601,1,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., I'll never have grandchildren, I'll never have grandchildren. was what? A wrong number?"
3701,1,Sorry.
3801,1,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
3901,1,"Strip joint! C'mon, you're single! Have some hormones!"
4001,1,"I don't want to be single, okay? I just... I just I just wanna be married again!"
4101,1,And I just want a million dollars!
4201,1,Rachel?!
4301,1,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
4401,1,Can I get you some coffee?
4501,1,"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and you remember my brother Ross?"
4601,1,"Hi, sure!"
4701,1,Hi.
4801,1,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
4901,1,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
5001,1,Who wasn't invited to the wedding.
5101,1,"Ooh, I was kinda hoping that wouldn't be an issue..."
5201,2,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
5301,2,Tuna or egg salad? Decide!
5401,2,I'll have whatever Christine is having.
5501,2,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
5601,2,"If I let go of my hair, my head will fall off."
5701,2,"Ooh, she should not be wearing those pants."
5801,2,I say push her down the stairs.
5901,2,Push her down the stairs! Push her down the stairs! Push her down the stairs!
6001,2,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
6101,2,You can see where he'd have trouble.
6201,2,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
6301,2,"Well, I guess we've established who's staying here with Monica..."
6401,2,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait! Wait, I said maybe!"
6501,2,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
6601,2,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and something with mittens... La la la la...something and noodles with string. These are a few..."
6701,2,I'm all better now.
6801,2,I helped!
6901,2,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."
7001,2,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
7101,2,"Joey, stop hitting on her! It's her wedding day!"
7201,2,"What, like there's a rule or something?"
7301,2,"Please don't do that again, it's a horrible sound."
7401,2,"It's, uh, it's Paul."
7501,2,"Oh God, is it 6:30? Buzz him in!"
7601,2,Who's Paul?
7701,2,"Paul the Wine Guy, Paul?"
7801,2,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
7901,2,He finally asked you out?
8001,2,Yes!
8101,2,"Ooh, this is a Dear Diary moment."
8201,2,"Rach, wait, I can cancel..."
8301,2,"Please, no, go, that'd be fine!"
8401,2,"Are, are you okay? I mean, do you want me to stay?"
8501,2,That'd be good...
8601,2,Really?
8701,2,"No, go on! It's Paul the Wine Guy!"
8801,2,"What does that mean? Does he sell it, drink it, or just complain a lot?"
8901,2,"Hi, come in! Paul, this is... everybody, everybody, this is Paul."
9001,2,Hey! Paul! Hi! The Wine Guy! Hey!
9101,2,"I'm sorry, I didn't catch your name. Paul, was it?"
9201,2,"Okay, umm-umm, I'll just -I'll be right back, I just gotta go ah, go ah..."
9301,2,A wandering?
9401,2,"Change! Okay, sit down. Two seconds."
9501,2,"Ooh, I just pulled out four eyelashes. That can't be good."
9601,2,"Hey, Paul!"
9701,2,Yeah?
9801,2,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
9901,2,"Shut up, Joey!"
10001,2,"So Rachel, what're you, uh... what're you up to tonight?"
10101,2,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
10201,2,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
10301,2,"Yes, and we're very excited about it."
10401,2,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."
10501,2,"Okay, sure."
10601,2,"Hey Pheebs, you wanna help?"
10701,2,"Oh, I wish I could, but I don't want to."
10801,3,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. la la la- Thank you. la la la...ohhh!"
10901,4,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and I cannot feel my legs."
11001,4,I'm thinking we've got a bookcase here.
11101,4,It's a beautiful thing.
11201,4,What's this?
11301,4,I would have to say that is an 'L'-shaped bracket.
11401,4,Which goes where?
11501,4,I have no idea.
11601,4,Done with the bookcase!
11701,4,All finished!
11801,4,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
11901,4,"Hey, if you're gonna start with that stuff we're outta here."
12001,4,"Yes, please don't spoil all this fun."
12101,4,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
12201,4,You guys.
12301,4,"Oh, God."
12401,4,You got screwed.
12501,4,Oh my God!
12601,5,Oh my God!
12701,5,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
12801,5,"My brother's going through that right now, he's such a mess. How did you get through it?"
12901,5,"Well, you might try accidentally breaking something valuable of hers, say her"
13001,5,leg?
13101,5,"That's one way! Me, I went for the watch."
13201,5,"You actually broke her watch? Wow! The worst thing I ever did was, I shredded by boyfriend's favorite bath towel."
13301,5,"Ooh, steer clear of you."
13401,5,That's right.
13501,6,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
13601,7,I'm divorced! I'm only 26 and I'm divorced!
13701,7,Shut up!
13801,7,You must stop!
13901,7,That only took me an hour.
14001,7,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
14101,7,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
14201,7,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
14301,7,I honestly don't know if I'm hungry or horny.
14401,7,Stay out of my freezer!
14501,8,"Ever since she walked out on me, I, uh..."
14601,8,"What?... What, you wanna spell it out with noodles?"
14701,8,"No, it's, it's more of a fifth date kinda revelation."
14801,8,"Oh, so there is gonna be a fifth date?"
14901,8,Isn't there?
15001,8,"Yeah... yeah, I think there is. What were you gonna say?"
15101,8,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform...Sexually."
15201,8,"Oh God, oh God, I am sorry... I am so sorry..."
15301,8,It's okay...
15401,8,I know being spit on is probably not what you need right now. Um... how long?
15501,8,Two years.
15601,8,Wow! I'm glad you smashed her watch!
15701,8,"So you still think you, um... might want that fifth date?"
15801,8,"...Yeah. Yeah, I do."
15901,9,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony."
16001,9,Oh...see... but Joanne loved Chachi! That's the difference!
16101,10,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
16201,10,"Great story! But, I uh, I gotta go, I got a date with Andrea-Angela-Andrea... Oh man,"
16301,10,"Angela's the screamer, Andrea has cats."
16401,10,Right. Thanks. It's June. I'm outta here.
16501,10,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?"
16601,11,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
16701,11,That is amazing.
16801,11,Congratulations.
16901,11,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
17001,11,"If can invade Poland, there isn't anything I can't do."
17101,11,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
17201,11,"Oh good, Lenny and Squigy are here."
17301,11,Morning. Good morning.
17401,11,Morning.
17501,11,"Morning, Paul."
17601,11,"Hello, Paul."
17701,11,"Hi, Paul, is it?"
17801,11,Thank you! Thank you so much!
17901,11,Stop!
18001,11,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
